template,comparator,accuracy,OO,OS,SO,SS,SS_false_rejection,SO_false_acceptance
T0,B_slot_oracle,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
T0,B_exact_match,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
T3,B_slot_oracle,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
T3,B_exact_match,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
T4,B_slot_oracle,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
T4,B_exact_match,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
T5,B_slot_oracle,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
T5,B_exact_match,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
