source_group_id,template,norm_ro_ne_norm_rs,render_ro_ne_rs,render_deterministic
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,T0,True,True,True
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,T3,True,True,True
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,T4,True,True,True
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,T5,True,True,True
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,T0,True,True,True
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,T3,True,True,True
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,T4,True,True,True
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,T5,True,True,True
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,T0,True,True,True
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,T3,True,True,True
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,T4,True,True,True
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,T5,True,True,True
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,T0,True,True,True
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,T3,True,True,True
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,T4,True,True,True
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,T5,True,True,True
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,T0,True,True,True
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,T3,True,True,True
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,T4,True,True,True
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,T5,True,True,True
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,T0,True,True,True
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,T3,True,True,True
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,T4,True,True,True
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,T5,True,True,True
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,T0,True,True,True
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,T3,True,True,True
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,T4,True,True,True
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,T5,True,True,True
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,T0,True,True,True
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,T3,True,True,True
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,T4,True,True,True
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,T5,True,True,True
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,T0,True,True,True
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,T3,True,True,True
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,T4,True,True,True
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,T5,True,True,True
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,T0,True,True,True
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,T3,True,True,True
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,T4,True,True,True
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,T5,True,True,True
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,T0,True,True,True
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,T3,True,True,True
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,T4,True,True,True
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,T5,True,True,True
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,T0,True,True,True
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,T3,True,True,True
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,T4,True,True,True
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,T5,True,True,True
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,T0,True,True,True
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,T3,True,True,True
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,T4,True,True,True
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,T5,True,True,True
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,T0,True,True,True
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,T3,True,True,True
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,T4,True,True,True
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,T5,True,True,True
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,T0,True,True,True
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,T3,True,True,True
