bootstrap_iter,dAUROC1_Mrep_minus_Bknowledge,dAUROC2_Mhybrid_minus_Bknowledge
262,0.107635,0.118804
263,0.213430,0.226813
264,0.258305,0.258703
265,0.159425,0.167465
266,0.097231,0.107315
267,0.204262,0.213983
268,0.148673,0.157604
269,0.078897,0.089517
270,0.097708,0.109170
271,0.198628,0.205621
272,0.196857,0.197790
273,0.220296,0.225049
274,0.191978,0.197998
275,0.195295,0.198271
276,0.242035,0.246660
277,0.188897,0.194966
278,0.110975,0.122549
279,0.101765,0.114167
280,0.122844,0.127588
281,0.186138,0.190831
282,0.233117,0.235325
283,0.196297,0.203947
284,0.182531,0.195043
285,0.142483,0.155796
286,0.310554,0.310725
287,0.132690,0.137517
288,0.165397,0.168703
289,0.189946,0.195816
290,0.205065,0.207925
291,0.179238,0.185358
292,0.095172,0.106345
293,0.179150,0.183646
294,0.171862,0.178897
295,0.208813,0.212982
296,0.172600,0.176685
297,0.239931,0.246000
298,0.239943,0.242792
299,0.131426,0.137546
300,0.169217,0.178244
301,0.197781,0.203760
302,0.176451,0.182624
303,0.236221,0.237963
304,0.204625,0.208109
305,0.251630,0.253756
306,0.226866,0.230640
307,0.285527,0.293405
308,0.207556,0.216436
309,0.171057,0.175572
310,0.080678,0.091213
311,0.251407,0.254519
312,0.162557,0.166383
313,0.241432,0.244951
314,0.182952,0.190833
315,0.157333,0.163259
316,0.190942,0.194716
317,0.125740,0.136364
318,0.222008,0.224355
319,0.070791,0.085530
320,0.254960,0.253685
321,0.157270,0.165347
322,0.161336,0.176674
323,0.226103,0.232911
324,0.122848,0.129268
325,0.127079,0.135249
326,0.170564,0.178784
327,0.117025,0.133520
328,0.123588,0.127891
329,0.141333,0.146370
330,0.080815,0.091037
331,0.117249,0.127634
332,0.211798,0.220188
333,0.151733,0.164034
334,0.061504,0.075342
335,0.106653,0.117450
336,0.290487,0.291071
337,0.161210,0.169758
338,0.207951,0.208742
339,0.064740,0.073701
340,0.168710,0.172742
341,0.212089,0.215632
342,0.231098,0.237179
343,0.137586,0.148483
344,0.215778,0.220222
345,0.188827,0.201914
346,0.147819,0.158163
347,0.244582,0.251806
348,0.193951,0.199540
349,0.118560,0.126416
350,0.189546,0.192336
351,0.224718,0.233386
352,0.142715,0.144983
