phase,template,metric,point,ci95_low,ci95_high,seed,n_resamples
phase2,T0,RPAG,0.34102564102564104,0.28717948717948716,0.39743589743589747,20260811,2000
phase2,T0,SS_false_rejection_rate,0.3897435897435897,0.31794871794871793,0.45641025641025645,20260811,2000
phase3,T1,RPAG,0.36410256410256414,0.3076923076923077,0.417948717948718,20260811,2000
phase3,T1,SS_false_rejection_rate,0.482051282051282,0.41025641025641024,0.5487179487179488,20260811,2000
phase3,T1,SS_error_retention,0.9868421052631579,0.9868421052631579,0.9868421052631579,20260811,2000
phase3,T2,RPAG,0.38717948717948725,0.3307692307692308,0.44358974358974357,20260811,2000
phase3,T2,SS_false_rejection_rate,0.45641025641025645,0.3846153846153846,0.5282051282051282,20260811,2000
phase3,T2,SS_error_retention,0.9605263157894737,0.9605263157894737,0.9605263157894737,20260811,2000
