source_group_id,cell,r_end,c_end,d_pos,order_ok,r_end_tok,c_end_tok,d_pos_tok,prediction_match,d1_d_raw,our_d_raw,d_raw_abs_diff,seq_len
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,SO,118,127,135,True,7015,2297,198,True,-12.40625,-12.40625,0.0,136
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,SS,118,127,135,True,7015,7015,198,True,-13.03125,-13.03125,0.0,136
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,OO,96,104,112,True,12499,12499,198,True,17.390625,17.390625,0.0,113
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,OS,96,104,112,True,12499,7046,198,True,-17.140625,-17.140625,0.0,113
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,SO,96,104,112,True,7046,12499,198,True,-19.53125,-19.53125,0.0,113
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,SS,96,104,112,True,7046,7046,198,True,7.0625,7.0625,0.0,113
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,OO,100,110,118,True,24705,24705,198,True,17.03125,17.03125,0.0,119
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,OS,100,109,117,True,24705,38554,198,True,-22.28125,-22.28125,0.0,118
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,SO,99,109,117,True,38554,24705,198,True,-17.34375,-17.34375,0.0,118
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,SS,99,108,116,True,38554,38554,198,True,-18.046875,-18.046875,0.0,117
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,OO,96,106,114,True,50019,50019,198,True,17.40625,17.40625,0.0,115
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,OS,96,108,116,True,50019,41930,198,True,-21.9375,-21.9375,0.0,117
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,SO,98,108,116,True,41930,50019,198,True,-17.875,-17.875,0.0,117
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,SS,98,110,118,True,41930,41930,198,True,-11.8125,-11.8125,0.0,119
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,OO,105,114,122,True,10704,10704,198,True,16.96875,16.96875,0.0,123
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,OS,105,114,122,True,10704,367,198,True,-21.78125,-21.78125,0.0,123
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,SO,105,114,122,True,367,10704,198,True,-13.7890625,-13.7890625,0.0,123
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,SS,105,114,122,True,367,367,198,True,-9.375,-9.375,0.0,123
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,OO,102,113,121,True,56578,56578,198,True,13.734375,13.734375,0.0,122
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,OS,102,110,118,True,56578,9853,198,True,-19.75,-19.75,0.0,119
