dataset,n,y_SS1_n,y_SS0_n,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,ySS0,ySS1,cliffs_delta,mannwhitney_p
SciQ,195,148,47,0.7316705002875217,0.6436576485312117,0.811083606257726,0.8744846135336829,0.8132186146281188,0.931356011643285,"{'mean': 18.2119452293883, 'median': 20.01171875, 'iqr_lo': 17.84375, 'iqr_hi': 21.3056640625}","{'mean': 21.256462921967376, 'median': 22.046875, 'iqr_lo': 20.75390625, 'iqr_hi': 22.712890625}",-0.4633410005750431,1.7573416394731262e-06
PopQA,2815,144,2671,0.8792522047506137,0.8463705729488312,0.9101779360727679,0.39548693754409436,0.31736950900423,0.48777132932363376,"{'mean': 6.664097817012854, 'median': 8.046875, 'iqr_lo': -0.421875, 'iqr_hi': 15.041015625}","{'mean': 18.667869144015842, 'median': 21.07421875, 'iqr_lo': 18.058349609375, 'iqr_hi': 21.984375}",-0.7585044095012272,3.334184093712352e-53
