dataset,n,b1_z(k),odds_ratio_exp_b1,b1_boot_ci_lo,b1_boot_ci_hi,odds_ratio_ci_lo,odds_ratio_ci_hi,b2_z(q_len),b3_z(len_r_o),b4_z(len_r_s),b0_intercept
SciQ,195,0.763001575611519,2.1447040602485252,0.378318463473753,1.4968204037860753,1.4598277706794611,4.467461739308294,0.1316825505980567,0.01238892933104166,-0.0549259170111736,1.2082661410775917
PopQA,2815,2.7130819902760233,15.075667048273875,2.0863899947158804,3.6599989290529837,8.055781196369177,38.86130125291555,-0.29785243802357486,-0.16531736220266036,-0.33023461607552007,-4.955076595764223
